Model,TBS1102X
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.0001
Sample Interval,8e-07
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH1
-8.000e-04,0
-7.992e-04,-0.04
-7.984e-04,0
-7.976e-04,0
-7.968e-04,-0.04
-7.960e-04,0
-7.952e-04,0
-7.944e-04,0
-7.936e-04,0
-7.928e-04,-0.04
-7.920e-04,0
-7.912e-04,0
-7.904e-04,-0.04
-7.896e-04,0
-7.888e-04,0
-7.880e-04,-0.04
-7.872e-04,0
-7.864e-04,0
-7.856e-04,0
-7.848e-04,0
-7.840e-04,-0.04
-7.832e-04,0
-7.824e-04,0
-7.816e-04,0
-7.808e-04,0
-7.800e-04,0
-7.792e-04,0
-7.784e-04,0
-7.776e-04,0
-7.768e-04,-0.04
-7.760e-04,0
-7.752e-04,0
-7.744e-04,0
-7.736e-04,0
-7.728e-04,0
-7.720e-04,0
-7.712e-04,-0.04
-7.704e-04,0
-7.696e-04,0
-7.688e-04,0
-7.680e-04,0
-7.672e-04,0
-7.664e-04,0
-7.656e-04,-0.04
-7.648e-04,0
-7.640e-04,0
-7.632e-04,0
-7.624e-04,0
-7.616e-04,0
-7.608e-04,-0.04
-7.600e-04,0
-7.592e-04,0
-7.584e-04,-0.04
-7.576e-04,0
-7.568e-04,0
-7.560e-04,-0.04
-7.552e-04,0
-7.544e-04,0
-7.536e-04,0
-7.528e-04,0
-7.520e-04,-0.04
-7.512e-04,0
-7.504e-04,-0.04
-7.496e-04,0
-7.488e-04,-0.04
-7.480e-04,0
-7.472e-04,-0.04
-7.464e-04,0
-7.456e-04,0
-7.448e-04,0
-7.440e-04,0
-7.432e-04,0
-7.424e-04,0
-7.416e-04,-0.04
-7.408e-04,0
-7.400e-04,0
-7.392e-04,-0.04
-7.384e-04,0
-7.376e-04,-0.04
-7.368e-04,0
-7.360e-04,0
-7.352e-04,0
-7.344e-04,-0.04
-7.336e-04,0
-7.328e-04,-0.04
-7.320e-04,0
-7.312e-04,0
-7.304e-04,0
-7.296e-04,0
-7.288e-04,0
-7.280e-04,0
-7.272e-04,0
-7.264e-04,0
-7.256e-04,0
-7.248e-04,0
-7.240e-04,0
-7.232e-04,0
-7.224e-04,-0.04
-7.216e-04,0
-7.208e-04,0
-7.200e-04,0
-7.192e-04,0
-7.184e-04,-0.04
-7.176e-04,-0.04
-7.168e-04,0
-7.160e-04,0
-7.152e-04,0
-7.144e-04,0
-7.136e-04,0
-7.128e-04,0
-7.120e-04,0
-7.112e-04,0
-7.104e-04,0
-7.096e-04,0
-7.088e-04,0
-7.080e-04,-0.04
-7.072e-04,-0.04
-7.064e-04,0
-7.056e-04,0
-7.048e-04,0
-7.040e-04,0
-7.032e-04,0
-7.024e-04,-0.04
-7.016e-04,0
-7.008e-04,0
-7.000e-04,-0.04
-6.992e-04,0
-6.984e-04,0
-6.976e-04,0
-6.968e-04,0
-6.960e-04,0
-6.952e-04,0
-6.944e-04,0
-6.936e-04,-0.04
-6.928e-04,0
-6.920e-04,0
-6.912e-04,0
-6.904e-04,0
-6.896e-04,0
-6.888e-04,0
-6.880e-04,0
-6.872e-04,-0.04
-6.864e-04,0
-6.856e-04,0
-6.848e-04,-0.04
-6.840e-04,-0.04
-6.832e-04,-0.04
-6.824e-04,0
-6.816e-04,0
-6.808e-04,0
-6.800e-04,0
-6.792e-04,0
-6.784e-04,0
-6.776e-04,-0.04
-6.768e-04,-0.04
-6.760e-04,0
-6.752e-04,-0.04
-6.744e-04,0
-6.736e-04,0
-6.728e-04,0
-6.720e-04,0
-6.712e-04,0
-6.704e-04,0
-6.696e-04,-0.04
-6.688e-04,0
-6.680e-04,0
-6.672e-04,0
-6.664e-04,0
-6.656e-04,0
-6.648e-04,0
-6.640e-04,0
-6.632e-04,0
-6.624e-04,0
-6.616e-04,-0.04
-6.608e-04,0
-6.600e-04,0
-6.592e-04,0
-6.584e-04,0
-6.576e-04,0
-6.568e-04,-0.04
-6.560e-04,0
-6.552e-04,-0.04
-6.544e-04,-0.04
-6.536e-04,0
-6.528e-04,0
-6.520e-04,0
-6.512e-04,0
-6.504e-04,0
-6.496e-04,0
-6.488e-04,0
-6.480e-04,0
-6.472e-04,-0.04
-6.464e-04,0
-6.456e-04,0
-6.448e-04,0
-6.440e-04,0
-6.432e-04,-0.04
-6.424e-04,0
-6.416e-04,0
-6.408e-04,0
-6.400e-04,0
-6.392e-04,0
-6.384e-04,0
-6.376e-04,-0.04
-6.368e-04,0
-6.360e-04,0
-6.352e-04,0
-6.344e-04,-0.04
-6.336e-04,-0.04
-6.328e-04,0
-6.320e-04,-0.04
-6.312e-04,0
-6.304e-04,0
-6.296e-04,-0.04
-6.288e-04,0
-6.280e-04,-0.04
-6.272e-04,0
-6.264e-04,0
-6.256e-04,0
-6.248e-04,0
-6.240e-04,0
-6.232e-04,0
-6.224e-04,0
-6.216e-04,0
-6.208e-04,0
-6.200e-04,0
-6.192e-04,0
-6.184e-04,0
-6.176e-04,0
-6.168e-04,0
-6.160e-04,-0.04
-6.152e-04,0
-6.144e-04,0
-6.136e-04,0
-6.128e-04,0
-6.120e-04,-0.04
-6.112e-04,0
-6.104e-04,0
-6.096e-04,0
-6.088e-04,0
-6.080e-04,-0.04
-6.072e-04,0
-6.064e-04,0
-6.056e-04,0
-6.048e-04,0
-6.040e-04,0
-6.032e-04,0
-6.024e-04,0
-6.016e-04,0
-6.008e-04,0
-6.000e-04,-0.04
-5.992e-04,0
-5.984e-04,0
-5.976e-04,0
-5.968e-04,0
-5.960e-04,0
-5.952e-04,0
-5.944e-04,0
-5.936e-04,0
-5.928e-04,0
-5.920e-04,0
-5.912e-04,0
-5.904e-04,0
-5.896e-04,-0.04
-5.888e-04,-0.04
-5.880e-04,0
-5.872e-04,0
-5.864e-04,0
-5.856e-04,0
-5.848e-04,0
-5.840e-04,-0.04
-5.832e-04,0
-5.824e-04,0
-5.816e-04,-0.04
-5.808e-04,0
-5.800e-04,0
-5.792e-04,0
-5.784e-04,0
-5.776e-04,-0.04
-5.768e-04,0
-5.760e-04,0
-5.752e-04,0
-5.744e-04,0
-5.736e-04,0
-5.728e-04,0
-5.720e-04,0
-5.712e-04,0
-5.704e-04,0
-5.696e-04,0
-5.688e-04,0
-5.680e-04,0
-5.672e-04,0
-5.664e-04,0
-5.656e-04,0
-5.648e-04,0
-5.640e-04,-0.04
-5.632e-04,0
-5.624e-04,-0.04
-5.616e-04,0
-5.608e-04,0
-5.600e-04,0
-5.592e-04,0
-5.584e-04,0
-5.576e-04,0
-5.568e-04,0
-5.560e-04,-0.04
-5.552e-04,0
-5.544e-04,0
-5.536e-04,0
-5.528e-04,0
-5.520e-04,-0.04
-5.512e-04,0
-5.504e-04,0
-5.496e-04,-0.04
-5.488e-04,-0.04
-5.480e-04,0
-5.472e-04,0
-5.464e-04,-0.04
-5.456e-04,0
-5.448e-04,0
-5.440e-04,0
-5.432e-04,-0.04
-5.424e-04,0
-5.416e-04,0
-5.408e-04,0
-5.400e-04,0
-5.392e-04,0
-5.384e-04,0
-5.376e-04,0
-5.368e-04,0
-5.360e-04,0
-5.352e-04,0
-5.344e-04,0
-5.336e-04,0
-5.328e-04,0
-5.320e-04,0
-5.312e-04,0
-5.304e-04,0
-5.296e-04,0
-5.288e-04,0
-5.280e-04,0
-5.272e-04,0
-5.264e-04,0
-5.256e-04,0
-5.248e-04,0
-5.240e-04,0
-5.232e-04,0
-5.224e-04,0
-5.216e-04,0
-5.208e-04,0
-5.200e-04,-0.04
-5.192e-04,0
-5.184e-04,0
-5.176e-04,0
-5.168e-04,0
-5.160e-04,0
-5.152e-04,0
-5.144e-04,0
-5.136e-04,0
-5.128e-04,-0.04
-5.120e-04,-0.04
-5.112e-04,0
-5.104e-04,0
-5.096e-04,0
-5.088e-04,0
-5.080e-04,0
-5.072e-04,0
-5.064e-04,0
-5.056e-04,-0.04
-5.048e-04,-0.04
-5.040e-04,0
-5.032e-04,0
-5.024e-04,0
-5.016e-04,-0.04
-5.008e-04,0
-5.000e-04,0
-4.992e-04,0
-4.984e-04,-0.04
-4.976e-04,-0.04
-4.968e-04,0
-4.960e-04,0
-4.952e-04,0
-4.944e-04,0
-4.936e-04,-0.04
-4.928e-04,0
-4.920e-04,0
-4.912e-04,0
-4.904e-04,0
-4.896e-04,-0.04
-4.888e-04,0
-4.880e-04,0
-4.872e-04,0
-4.864e-04,0
-4.856e-04,0
-4.848e-04,0
-4.840e-04,0
-4.832e-04,0
-4.824e-04,0
-4.816e-04,-0.04
-4.808e-04,0
-4.800e-04,0
-4.792e-04,0
-4.784e-04,-0.04
-4.776e-04,0
-4.768e-04,0
-4.760e-04,0
-4.752e-04,0
-4.744e-04,0
-4.736e-04,0
-4.728e-04,-0.04
-4.720e-04,0
-4.712e-04,0
-4.704e-04,0
-4.696e-04,0
-4.688e-04,0
-4.680e-04,0
-4.672e-04,0
-4.664e-04,0
-4.656e-04,0
-4.648e-04,0
-4.640e-04,0
-4.632e-04,0
-4.624e-04,0
-4.616e-04,0
-4.608e-04,0
-4.600e-04,0
-4.592e-04,0
-4.584e-04,0
-4.576e-04,0
-4.568e-04,-0.04
-4.560e-04,0
-4.552e-04,0
-4.544e-04,0
-4.536e-04,-0.04
-4.528e-04,0
-4.520e-04,0
-4.512e-04,-0.04
-4.504e-04,0
-4.496e-04,0
-4.488e-04,0
-4.480e-04,0
-4.472e-04,0
-4.464e-04,0
-4.456e-04,-0.04
-4.448e-04,-0.04
-4.440e-04,0
-4.432e-04,0
-4.424e-04,0
-4.416e-04,0
-4.408e-04,0
-4.400e-04,0
-4.392e-04,0
-4.384e-04,0
-4.376e-04,-0.04
-4.368e-04,0
-4.360e-04,0
-4.352e-04,0
-4.344e-04,-0.04
-4.336e-04,0
